strain	virus	date	region	country_exposure	date_submitted	lineage
hCoV-19/USA/NY-NYCPHL-000236/2020_EPI_ISL_631765_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1.13
hCoV-19/USA/NY-NYCPHL-000237/2020_EPI_ISL_631766_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000238/2020_EPI_ISL_631767_2020-04-11	ncov	2020-04-11	North America	?	2030-03-22	B.1.1.257
hCoV-19/USA/NY-NYCPHL-000241/2020_EPI_ISL_631768_2020-04-11	ncov	2020-04-11	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000242/2020_EPI_ISL_631769_2020-04-11	ncov	2020-04-11	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000243/2020_EPI_ISL_631770_2020-04-12	ncov	2020-04-12	North America	?	2030-03-22	B.1.108
hCoV-19/USA/NY-NYCPHL-000244/2020_EPI_ISL_631771_2020-04-12	ncov	2020-04-12	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000246/2020_EPI_ISL_631772_2020-04-13	ncov	2020-04-13	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000247/2020_EPI_ISL_631773_2020-04-14	ncov	2020-04-14	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000248/2020_EPI_ISL_631774_2020-04-16	ncov	2020-04-16	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000249/2020_EPI_ISL_631775_2020-04-18	ncov	2020-04-18	North America	?	2030-03-22	B.1.1.8
hCoV-19/USA/NY-NYCPHL-000250/2020_EPI_ISL_631776_2020-04-19	ncov	2020-04-19	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000251/2020_EPI_ISL_631777_2020-04-21	ncov	2020-04-21	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000252/2020_EPI_ISL_631778_2020-04-23	ncov	2020-04-23	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000253/2020_EPI_ISL_631779_2020-04-24	ncov	2020-04-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000254/2020_EPI_ISL_631780_2020-04-24	ncov	2020-04-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000255/2020_EPI_ISL_631781_2020-04-25	ncov	2020-04-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000256/2020_EPI_ISL_631782_2020-04-25	ncov	2020-04-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000257/2020_EPI_ISL_631783_2020-04-26	ncov	2020-04-26	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000258/2020_EPI_ISL_631784_2020-04-29	ncov	2020-04-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000259/2020_EPI_ISL_631785_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000260/2020_EPI_ISL_631786_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000261/2020_EPI_ISL_631787_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000262/2020_EPI_ISL_631788_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000263/2020_EPI_ISL_631789_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000264/2020_EPI_ISL_631790_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	A.3
hCoV-19/USA/NY-NYCPHL-000265/2020_EPI_ISL_631791_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	A.1
hCoV-19/USA/NY-NYCPHL-000266/2020_EPI_ISL_631792_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000267/2020_EPI_ISL_631793_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000268/2020_EPI_ISL_631794_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000269/2020_EPI_ISL_631795_2020-03-17	ncov	2020-03-17	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000270/2020_EPI_ISL_631796_2020-03-17	ncov	2020-03-17	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000271/2020_EPI_ISL_631797_2020-03-17	ncov	2020-03-17	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000272/2020_EPI_ISL_631798_2020-03-17	ncov	2020-03-17	North America	?	2030-03-22	B.1.507
hCoV-19/USA/NY-NYCPHL-000273/2020_EPI_ISL_631799_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1.319
hCoV-19/USA/NY-NYCPHL-000282/2020_EPI_ISL_631808_2020-03-20	ncov	2020-03-20	North America	?	2030-03-22	A.3
hCoV-19/USA/NY-NYCPHL-000283/2020_EPI_ISL_631809_2020-03-20	ncov	2020-03-20	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000294/2020_EPI_ISL_631820_2020-03-22	ncov	2020-03-22	North America	?	2030-03-22	B.37
hCoV-19/USA/NY-NYCPHL-000295/2020_EPI_ISL_631821_2020-03-23	ncov	2020-03-23	North America	?	2030-03-22	B.1.108
hCoV-19/USA/NY-NYCPHL-000296/2020_EPI_ISL_631822_2020-03-23	ncov	2020-03-23	North America	?	2030-03-22	B
hCoV-19/USA/NY-NYCPHL-000297/2020_EPI_ISL_631823_2020-04-05	ncov	2020-04-05	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000298/2020_EPI_ISL_631825_2020-04-05	ncov	2020-04-05	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000299/2020_EPI_ISL_631826_2020-04-05	ncov	2020-04-05	North America	?	2030-03-22	B.40
hCoV-19/USA/NY-NYCPHL-000300/2020_EPI_ISL_631827_2020-03-13	ncov	2020-03-13	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000301/2020_EPI_ISL_631828_2020-03-13	ncov	2020-03-13	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000302/2020_EPI_ISL_631829_2020-03-14	ncov	2020-03-14	North America	?	2030-03-22	B.1.332
hCoV-19/USA/NY-NYCPHL-000303/2020_EPI_ISL_631830_2020-03-14	ncov	2020-03-14	North America	?	2030-03-22	B.1.319
hCoV-19/USA/NY-NYCPHL-000304/2020_EPI_ISL_631831_2020-03-14	ncov	2020-03-14	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000305/2020_EPI_ISL_631832_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1.283
hCoV-19/USA/NY-NYCPHL-000306/2020_EPI_ISL_631833_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000307/2020_EPI_ISL_631834_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000308/2020_EPI_ISL_631835_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000309/2020_EPI_ISL_631836_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1.302
hCoV-19/USA/NY-NYCPHL-000310/2020_EPI_ISL_631837_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000311/2020_EPI_ISL_631838_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000312/2020_EPI_ISL_631839_2020-03-15	ncov	2020-03-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000314/2020_EPI_ISL_631840_2020-05-01	ncov	2020-05-01	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000315/2020_EPI_ISL_631841_2020-04-23	ncov	2020-04-23	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000823/2020_EPI_ISL_632200_2020-03-30	ncov	2020-03-30	North America	?	2030-03-22	B.1.369
hCoV-19/USA/NY-NYCPHL-000824/2020_EPI_ISL_632201_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000825/2020_EPI_ISL_632202_2020-03-26	ncov	2020-03-26	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000826/2020_EPI_ISL_632203_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000827/2020_EPI_ISL_632204_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000828/2020_EPI_ISL_632205_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000829/2020_EPI_ISL_632206_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000830/2020_EPI_ISL_632207_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.37
hCoV-19/USA/NY-NYCPHL-000831/2020_EPI_ISL_632208_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000832/2020_EPI_ISL_632209_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1.108
hCoV-19/USA/NY-NYCPHL-000833/2020_EPI_ISL_632210_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000834/2020_EPI_ISL_632211_2020-03-26	ncov	2020-03-26	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000835/2020_EPI_ISL_632212_2020-03-26	ncov	2020-03-26	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000836/2020_EPI_ISL_632213_2020-03-26	ncov	2020-03-26	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000837/2020_EPI_ISL_632214_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000838/2020_EPI_ISL_632215_2020-03-29	ncov	2020-03-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-001234/2020_EPI_ISL_683855_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.409
hCoV-19/USA/NY-NYCPHL-001220/2020_EPI_ISL_683858_2020-11-04	ncov	2020-11-04	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001213/2020_EPI_ISL_683859_2020-11-02	ncov	2020-11-02	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001237/2020_EPI_ISL_683860_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.369
hCoV-19/USA/NY-NYCPHL-002548/2021_EPI_ISL_937126_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002549/2021_EPI_ISL_937127_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.429
hCoV-19/USA/NY-NYCPHL-002550/2021_EPI_ISL_937128_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.36
hCoV-19/USA/NY-NYCPHL-002551/2021_EPI_ISL_937129_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002552/2021_EPI_ISL_937130_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002553/2021_EPI_ISL_937131_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002554/2021_EPI_ISL_937132_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002556/2021_EPI_ISL_937133_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-002557/2021_EPI_ISL_937134_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.369
hCoV-19/USA/NY-NYCPHL-002559/2021_EPI_ISL_937135_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.317
hCoV-19/USA/NY-NYCPHL-002560/2021_EPI_ISL_937136_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002561/2021_EPI_ISL_937137_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002563/2021_EPI_ISL_937138_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-002564/2021_EPI_ISL_937139_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002565/2021_EPI_ISL_937140_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002566/2021_EPI_ISL_937141_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002567/2021_EPI_ISL_937142_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002568/2021_EPI_ISL_937143_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.517
hCoV-19/USA/NY-NYCPHL-002569/2021_EPI_ISL_937144_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002570/2021_EPI_ISL_937145_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1
hCoV-19/USA/NY-NYCPHL-002572/2021_EPI_ISL_937146_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.247
hCoV-19/USA/NY-NYCPHL-002573/2021_EPI_ISL_937147_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.349
hCoV-19/USA/NY-NYCPHL-002574/2021_EPI_ISL_937148_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.429
hCoV-19/USA/NY-NYCPHL-002575/2021_EPI_ISL_937149_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.429
hCoV-19/USA/NY-NYCPHL-002576/2021_EPI_ISL_937150_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002577/2021_EPI_ISL_937151_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002579/2021_EPI_ISL_937152_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002580/2021_EPI_ISL_937153_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002581/2021_EPI_ISL_937154_2021-01-15	ncov	2021-01-15	North America	?	2030-03-22	B.1.1.7
hCoV-19/USA/NY-NYCPHL-002582/2021_EPI_ISL_937155_2021-01-15	ncov	2021-01-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002583/2021_EPI_ISL_937156_2021-01-15	ncov	2021-01-15	North America	?	2030-03-22	B.1.221.1
hCoV-19/USA/NY-NYCPHL-002584/2021_EPI_ISL_937157_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002585/2021_EPI_ISL_937158_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-002586/2021_EPI_ISL_937159_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002587/2021_EPI_ISL_937160_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.1
hCoV-19/USA/NY-NYCPHL-002588/2021_EPI_ISL_937161_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002589/2021_EPI_ISL_937162_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.1.296
hCoV-19/USA/NY-NYCPHL-002590/2021_EPI_ISL_937163_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.1.247
hCoV-19/USA/NY-NYCPHL-002595/2021_EPI_ISL_937164_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.311
hCoV-19/USA/NY-NYCPHL-002599/2021_EPI_ISL_937165_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002601/2021_EPI_ISL_937166_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002602/2021_EPI_ISL_937167_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002619/2021_EPI_ISL_937168_2021-01-19	ncov	2021-01-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002629/2021_EPI_ISL_937169_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.409
hCoV-19/USA/NY-NYCPHL-002631/2021_EPI_ISL_937170_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002632/2021_EPI_ISL_937171_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.517
hCoV-19/USA/NY-NYCPHL-002636/2021_EPI_ISL_937172_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002643/2021_EPI_ISL_937173_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002645/2021_EPI_ISL_937174_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002654/2021_EPI_ISL_937175_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002659/2021_EPI_ISL_937176_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002660/2021_EPI_ISL_937177_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002661/2021_EPI_ISL_937178_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.1
hCoV-19/USA/NY-NYCPHL-002663/2021_EPI_ISL_937179_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-002664/2021_EPI_ISL_937180_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002665/2021_EPI_ISL_937181_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.36
hCoV-19/USA/NY-NYCPHL-002666/2021_EPI_ISL_937182_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.1.101
hCoV-19/USA/NY-NYCPHL-002668/2021_EPI_ISL_937183_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.111
hCoV-19/USA/NY-NYCPHL-002669/2021_EPI_ISL_937184_2021-01-21	ncov	2021-01-21	North America	?	2030-03-22	B.1.111
hCoV-19/USA/NY-NYCPHL-002670/2021_EPI_ISL_937185_2021-01-22	ncov	2021-01-22	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002673/2021_EPI_ISL_937186_2021-01-17	ncov	2021-01-17	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002677/2021_EPI_ISL_937187_2021-01-17	ncov	2021-01-17	North America	?	2030-03-22	B.1.306
hCoV-19/USA/NY-NYCPHL-002678/2021_EPI_ISL_937188_2021-01-18	ncov	2021-01-18	North America	?	2030-03-22	B.1.111
hCoV-19/USA/NY-NYCPHL-002679/2021_EPI_ISL_937189_2021-01-17	ncov	2021-01-17	North America	?	2030-03-22	B.1.1.64
hCoV-19/USA/NY-NYCPHL-002680/2021_EPI_ISL_937190_2021-01-17	ncov	2021-01-17	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002681/2021_EPI_ISL_937191_2021-01-18	ncov	2021-01-18	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002682/2021_EPI_ISL_937192_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002683/2021_EPI_ISL_937193_2021-01-18	ncov	2021-01-18	North America	?	2030-03-22	B.1.1.222
hCoV-19/USA/NY-NYCPHL-002684/2021_EPI_ISL_937194_2021-01-18	ncov	2021-01-18	North America	?	2030-03-22	A.2.4
hCoV-19/USA/NY-NYCPHL-002685/2021_EPI_ISL_937195_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002686/2021_EPI_ISL_937196_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.36
hCoV-19/USA/NY-NYCPHL-002687/2021_EPI_ISL_937197_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.1.220
hCoV-19/USA/NY-NYCPHL-002692/2021_EPI_ISL_937198_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.234
hCoV-19/USA/NY-NYCPHL-002694/2021_EPI_ISL_937199_2021-01-20	ncov	2021-01-20	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002977/2021_EPI_ISL_966400_2021-01-30	ncov	2021-01-30	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002943/2021_EPI_ISL_966401_2021-01-28	ncov	2021-01-28	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002982/2021_EPI_ISL_966402_2021-02-01	ncov	2021-02-01	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-002972/2021_EPI_ISL_966403_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002881/2021_EPI_ISL_966404_2021-01-28	ncov	2021-01-28	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-002903/2021_EPI_ISL_966405_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002853/2021_EPI_ISL_966407_2021-01-27	ncov	2021-01-27	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002854/2021_EPI_ISL_966408_2021-01-27	ncov	2021-01-27	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002870/2021_EPI_ISL_966409_2021-01-27	ncov	2021-01-27	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002874/2021_EPI_ISL_966410_2021-01-27	ncov	2021-01-27	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002984/2021_EPI_ISL_966411_2021-02-02	ncov	2021-02-02	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002902/2021_EPI_ISL_966412_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002911/2021_EPI_ISL_966413_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002919/2021_EPI_ISL_966414_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002883/2021_EPI_ISL_966415_2021-01-28	ncov	2021-01-28	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002893/2021_EPI_ISL_966416_2021-01-28	ncov	2021-01-28	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002950/2021_EPI_ISL_966417_2021-01-28	ncov	2021-01-28	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002958/2021_EPI_ISL_966418_2021-01-28	ncov	2021-01-28	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002973/2021_EPI_ISL_966419_2021-01-28	ncov	2021-01-28	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002852/2021_EPI_ISL_966420_2021-01-27	ncov	2021-01-27	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002861/2021_EPI_ISL_966421_2021-01-27	ncov	2021-01-27	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002863/2021_EPI_ISL_966422_2021-01-27	ncov	2021-01-27	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002800/2021_EPI_ISL_966423_2021-01-26	ncov	2021-01-26	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002804/2021_EPI_ISL_966424_2021-01-26	ncov	2021-01-26	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002807/2021_EPI_ISL_966425_2021-01-26	ncov	2021-01-26	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002827/2021_EPI_ISL_966426_2021-01-26	ncov	2021-01-26	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002941/2021_EPI_ISL_966427_2021-01-24	ncov	2021-01-24	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-002976/2021_EPI_ISL_966429_2021-01-30	ncov	2021-01-30	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002978/2021_EPI_ISL_966430_2021-01-30	ncov	2021-01-30	North America	?	2030-03-22	B.1.517
hCoV-19/USA/NY-NYCPHL-002981/2021_EPI_ISL_966431_2021-01-30	ncov	2021-01-30	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-002900/2021_EPI_ISL_966432_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.409
hCoV-19/USA/NY-NYCPHL-002905/2021_EPI_ISL_966433_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.409
hCoV-19/USA/NY-NYCPHL-002916/2021_EPI_ISL_966434_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002917/2021_EPI_ISL_966435_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.517
hCoV-19/USA/NY-NYCPHL-002918/2021_EPI_ISL_966436_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.517
hCoV-19/USA/NY-NYCPHL-002922/2021_EPI_ISL_966437_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-002965/2021_EPI_ISL_966438_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-002966/2021_EPI_ISL_966439_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-002971/2021_EPI_ISL_966440_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.234
hCoV-19/USA/NY-NYCPHL-002974/2021_EPI_ISL_966441_2021-01-29	ncov	2021-01-29	North America	?	2030-03-22	B.1.517
